Venue,Country,Gold,Silver,Bronze,Total
paris-2024,Albania,0,0,2,2
paris-2024,Algeria,2,0,1,3
paris-2024,Argentina,1,1,1,3
paris-2024,Armenia,0,3,1,4
paris-2024,Australia,18,19,16,53
paris-2024,Austria,2,0,3,5
paris-2024,Azerbaijan,2,2,3,7
paris-2024,Bahrain,2,1,1,4
paris-2024,Belgium,3,1,6,10
paris-2024,Botswana,1,1,0,2
paris-2024,Brazil,3,7,10,20
paris-2024,Bulgaria,3,1,3,7
paris-2024,Cape Verde,0,0,1,1
paris-2024,Canada,9,7,11,27
paris-2024,Chile,1,1,0,2
paris-2024,Taiwan,2,0,5,7
paris-2024,Colombia,0,3,1,4
paris-2024,Croatia,2,2,3,7
paris-2024,Cyprus,0,1,0,1
paris-2024,Czech Republic,3,0,2,5
paris-2024,Ivory Coast,0,0,1,1
paris-2024,Democratic People's Republic of Korea,0,2,4,6
paris-2024,Denmark,2,2,5,9
paris-2024,Dominica,1,0,0,1
paris-2024,Dominican Republic,1,0,2,3
paris-2024,Ecuador,1,2,2,5
paris-2024,Egypt,1,1,1,3
paris-2024,Ethiopia,1,3,0,4
paris-2024,Fiji,0,1,0,1
paris-2024,France,16,26,22,64
paris-2024,Georgia,3,3,1,7
paris-2024,Germany,12,13,8,33
paris-2024,United Kingdom,14,22,29,65
paris-2024,Greece,1,1,6,8
paris-2024,Grenada,0,0,2,2
paris-2024,Guatemala,1,0,1,2
paris-2024,Hong Kong,2,0,2,4
paris-2024,Hungary,6,7,6,19
paris-2024,India,0,1,5,6
paris-2024,Indonesia,2,0,1,3
paris-2024,Ireland,4,0,3,7
paris-2024,Iran,3,6,3,12
paris-2024,Israel,1,5,1,7
paris-2024,Italy,12,13,15,40
paris-2024,Jamaica,1,3,2,6
paris-2024,Japan,20,12,13,45
paris-2024,Jordan,0,1,0,1
paris-2024,Kazakhstan,1,3,3,7
paris-2024,Kenya,4,2,5,11
paris-2024,Kosovo,0,1,1,2
paris-2024,Kyrgyzstan,0,2,4,6
paris-2024,Lithuania,0,2,2,4
paris-2024,Malaysia,0,0,2,2
paris-2024,Mexico,0,3,2,5
paris-2024,Mongolia,0,1,0,1
paris-2024,Morocco,1,0,1,2
paris-2024,Netherlands,15,7,12,34
paris-2024,New Zealand,10,7,3,20
paris-2024,Norway,4,1,3,8
paris-2024,Pakistan,1,0,0,1
paris-2024,Panama,0,1,0,1
paris-2024,China,40,27,24,91
paris-2024,Peru,0,0,1,1
paris-2024,Philippines,2,0,2,4
paris-2024,Poland,1,4,5,10
paris-2024,Portugal,1,2,1,4
paris-2024,Puerto Rico,0,0,2,2
paris-2024,Qatar,0,0,1,1
paris-2024,South Korea,13,9,10,32
paris-2024,Moldova,0,1,3,4
paris-2024,Romania,3,4,2,9
paris-2024,Saint Lucia,1,1,0,2
paris-2024,Serbia,3,1,1,5
paris-2024,Singapore,0,0,1,1
paris-2024,Slovakia,0,0,1,1
paris-2024,Slovenia,2,1,0,3
paris-2024,South Africa,1,3,2,6
paris-2024,Spain,5,4,9,18
paris-2024,Sweden,4,4,3,11
paris-2024,Switzerland,1,2,5,8
paris-2024,Tajikistan,0,0,3,3
paris-2024,Thailand,1,3,2,6
paris-2024,Tunisia,1,1,1,3
paris-2024,Turkey,0,3,5,8
paris-2024,Uganda,1,1,0,2
paris-2024,Ukraine,3,5,4,12
paris-2024,United States,40,44,42,126
paris-2024,Uzbekistan,8,2,3,13
paris-2024,Zambia,0,0,1,1
rio-2016,Algeria,0,2,0,2
rio-2016,Argentina,3,1,0,4
rio-2016,Armenia,1,3,0,4
rio-2016,Australia,8,11,10,29
rio-2016,Austria,0,0,1,1
rio-2016,Azerbaijan,1,7,10,18
rio-2016,Bahamas,1,0,1,2
rio-2016,Bahrain,1,1,0,2
rio-2016,Belarus,1,4,4,9
