Venue,Country,Gold,Silver,Bronze,Total,Image URL
paris-2024,AIN,1,3,1,5,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/ioa
paris-2024,Albania,-,-,2,2,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/al
paris-2024,Algeria,2,-,1,3,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/dz
paris-2024,Argentina,1,1,1,3,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/ar
paris-2024,Armenia,-,3,1,4,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/am
paris-2024,Australia,18,19,16,53,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/au
paris-2024,Austria,2,-,3,5,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/at
paris-2024,Azerbaijan,2,2,3,7,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/az
paris-2024,Bahrain,2,1,1,4,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/bh
paris-2024,Belgium,3,1,6,10,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/be
paris-2024,Botswana,1,1,-,2,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/bw
paris-2024,Brazil,3,7,10,20,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/br
paris-2024,Bulgaria,3,1,3,7,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/bg
paris-2024,Cabo Verde,-,-,1,1,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/cv
paris-2024,Canada,9,7,11,27,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/ca
paris-2024,Chile,1,1,-,2,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/cl
paris-2024,Chinese Taipei,2,-,5,7,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/tw
paris-2024,Colombia,-,3,1,4,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/co
paris-2024,Croatia,2,2,3,7,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/hr
paris-2024,Cuba,2,1,6,9,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/cu
paris-2024,Cyprus,-,1,-,1,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/cy
paris-2024,Czechia,3,-,2,5,https://gstatic.olympics.com/s1/t_s_pog_flag/f_auto/static/flag/4x3/cz
