Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Afghanistan,,,,,,,,,,,,,208,201,218,253,272,330,390,441,544,612,666,639,630,594,520,530,500,500,517,356,352,411,, , , , , 
Albania,676,408,260,453,736,904,"1,010",707,817,"1,038","1,129","1,283","1,428","1,830","2,371","2,674","2,973","3,595","4,371","4,114","4,098","4,440","4,249","4,416","4,585","3,954","4,124","4,543","5,288","5,395","5,353","6,396","6,870","8,299","9,598","10,386","11,211","11,938","12,714","13,543"
Algeria,"2,684","1,975","2,033","2,057","1,675","1,627","1,783","1,800","1,772","1,769","1,948","1,919","1,958","2,305","2,840","3,258","3,691","4,208","5,215","4,262","4,941","5,946","6,058","5,998","6,109","4,692","4,427","4,554","4,568","4,453","3,758","4,170","4,982","5,222","5,579","5,593","5,646","5,681","5,706","5,734"
Andorra,,,,,,,,,,,,,,,,,,,,,"49,030","51,957","45,714","45,630","46,299","38,877","39,595","40,018","42,230","40,688","36,974","41,807","41,379","43,810","45,279","45,995","46,819","47,330","47,873","48,458"
Angola,"1,397","1,310",978,688,485,586,731,830,681,623,771,731,988,"1,122","1,438","2,128","2,909","3,493","4,554","3,630","4,089","5,175","5,700","5,881","6,062","4,681","3,936","4,629","3,651","2,926","1,990","2,445","3,975","2,967","2,961","2,991","3,030","3,141","3,222","3,316"
Antigua and Barbuda,"7,942","8,300","8,503","8,956","9,647","9,257","9,930","10,443","10,932","11,286","11,913","11,413","11,562","12,089","12,957","14,295","16,122","18,196","18,842","16,580","15,342","15,016","15,693","15,020","15,393","15,809","16,131","16,328","17,451","17,851","14,382","16,089","18,498","19,985","22,118","23,216","24,022","24,861","25,711","26,592"
Argentina,"4,858","6,429","7,654","7,796","8,379","8,295","8,645","9,197","9,283","8,709","8,639","8,085","2,998","3,761","4,314","5,164","5,976","7,316","9,147","8,338","10,413","12,788","13,890","14,489","13,209","14,895","12,773","14,618","11,786","9,942","8,489","10,610","13,676","13,823","12,814","12,054","12,706","13,330","13,914","14,402"
Armenia,,,31,248,197,400,504,522,608,597,621,692,779,923,"1,180","1,628","2,128","3,079","3,913","2,912","3,122","3,417","3,576","3,732","3,889","3,529","3,524","3,869","4,196","4,597","4,269","4,685","6,661","8,126","8,518","8,965","9,247","9,760","10,430","11,196"
Aruba,,,,,,"16,547","16,621","17,751","18,825","19,215","20,681","20,740","21,307","21,949","23,701","24,172","24,846","26,737","28,172","25,135","24,093","25,712","25,120","25,814","26,130","27,458","27,442","28,440","30,082","31,096","23,566","28,813","33,032","36,744","39,697","41,493","43,028","44,591","46,219","47,920"
Australia,"18,878","18,667","18,112","17,455","19,749","20,926","23,172","23,033","20,394","21,776","20,913","19,502","21,702","27,295","32,863","36,257","37,981","45,208","49,199","45,772","56,588","67,293","68,489","65,248","61,647","51,469","51,821","55,845","56,441","54,391","53,250","64,352","65,514","64,547","65,966","67,979","70,112","71,944","74,039","76,409"
Austria,"21,827","22,622","25,068","24,153","25,726","30,351","29,821","26,737","27,399","27,210","24,636","24,559","26,508","32,299","36,884","38,451","40,675","46,923","51,914","48,112","46,955","51,452","48,617","50,747","51,814","44,268","45,279","47,321","51,234","50,192","48,837","53,696","52,501","56,856","58,669","61,080","63,678","65,804","67,671","69,518"
Azerbaijan,,,160,175,297,316,411,553,543,576,656,675,761,880,"1,040","1,567","2,453","3,814","5,564","4,965","5,881","7,239","7,546","7,927","7,939","5,525","3,898","4,218","4,760","4,841","4,280","5,468","7,831","7,145","7,381","7,428","7,661","7,921","8,225","8,567"
Bahamas,"20,460","19,768","19,417","18,979","19,661","20,271","20,975","21,952","23,301","25,780","26,601","26,971","28,358","27,896","28,057","30,031","30,595","31,499","30,788","28,793","28,725","28,366","29,895","28,700","29,991","31,574","31,448","32,427","33,085","33,778","25,573","28,829","32,897","35,517","36,322","37,180","38,097","39,009","40,001","41,043"
